# DTStamp_FHdata_calc_intgr_error (integration error) 2023-01-15 19:39:30 110304612 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 0.000  0.000000000  0.000094261  0.000000  0.000000  0.000000  0.019992014  0.019992014 -0.000000000  0.019992014  0.019992014 -0.000000000  0.000000471228   106.066017 
 0.001  0.000094261  0.000094297 -0.014135 -0.014138  0.019992  0.019992010  0.019992010  0.000000000  0.039984024  0.039984024  0.000000000  0.000000471628   105.976067 
 0.002  0.000188558  0.000094332 -0.028268 -0.028278  0.039984  0.019992005  0.019992005 -0.000000000  0.059976029  0.059976029 -0.000000000  0.000000472028   105.886146 
 0.003  0.000282890  0.000094368 -0.042397 -0.042421  0.059976  0.019992001  0.019992001 -0.000000000  0.079968030  0.079968030 -0.000000000  0.000000472429   105.796252 
 0.004  0.000377257  0.000094403 -0.056525 -0.056567  0.079968  0.019991996  0.019991997 -0.000000000  0.099960027  0.099960027 -0.000000000  0.000000472831   105.706387 
 0.005  0.000471661  0.000094439 -0.070649 -0.070716  0.099960  0.019991992  0.019991992 -0.000000000  0.119952019  0.119952019 -0.000000000  0.000000473233   105.616551 
 0.006  0.000566100  0.000094475 -0.084771 -0.084867  0.119952  0.019991987  0.019991988 -0.000000000  0.139944006  0.139944007 -0.000000000  0.000000473635   105.526742 
 0.007  0.000660575  0.000094510 -0.098890 -0.099021  0.139944  0.019991983  0.019991983 -0.000000000  0.159935989  0.159935990 -0.000000001  0.000000474039   105.436962 
 0.008  0.000755085  0.000094546 -0.113006 -0.113177  0.159936  0.019991979  0.019991979 -0.000000000  0.179927968  0.179927969 -0.000000001  0.000000474442   105.347211 
 0.009  0.000849631  0.000094582 -0.127120 -0.127336  0.179928  0.019991974  0.019991974 -0.000000000  0.199919942  0.199919943 -0.000000001  0.000000474847   105.257487 
 0.010  0.000944213  0.000094618 -0.141231 -0.141498  0.199920  0.019991970  0.019991970 -0.000000000  0.219911912  0.219911913 -0.000000001  0.000000475252   105.167793 
 0.011  0.001038831  0.000094654 -0.155339 -0.155663  0.219912  0.019991965  0.019991965 -0.000000000  0.239903877  0.239903878 -0.000000001  0.000000475657   105.078126 
 0.012  0.001133485  0.000094690 -0.169445 -0.169830  0.239904  0.019991961  0.019991961 -0.000000000  0.259895838  0.259895839 -0.000000001  0.000000476063   104.988488 
 0.013  0.001228174  0.000094726 -0.183548 -0.184000  0.259896  0.019991956  0.019991956 -0.000000000  0.279887794  0.279887796 -0.000000001  0.000000476470   104.898879 
 0.014  0.001322900  0.000094761 -0.197648 -0.198172  0.279888  0.019991952  0.019991952 -0.000000000  0.299879746  0.299879748 -0.000000002  0.000000476877   104.809297 
 0.015  0.001417661  0.000094797 -0.211746 -0.212348  0.299880  0.019991947  0.019991947 -0.000000000  0.319871693  0.319871695 -0.000000002  0.000000477285   104.719745 
 0.016  0.001512459  0.000094833 -0.225840 -0.226526  0.319872  0.019991943  0.019991943 -0.000000000  0.339863636  0.339863638 -0.000000002  0.000000477693   104.630220 
 0.017  0.001607292  0.000094870 -0.239933 -0.240706  0.339863  0.019991939  0.019991939  0.000000000  0.359855575  0.359855577 -0.000000002  0.000000478102   104.540725 
 0.018  0.001702162  0.000094906 -0.254022 -0.254890  0.359855  0.019991934  0.019991934 -0.000000000  0.379847509  0.379847511 -0.000000002  0.000000478511   104.451257 
 0.019  0.001797068  0.000094942 -0.268109 -0.269076  0.379847  0.019991929  0.019991930 -0.000000000  0.399839438  0.399839440 -0.000000002  0.000000478921   104.361819 
 0.020  0.001892009  0.000094978 -0.282193 -0.283264  0.399839  0.019991925  0.019991925 -0.000000000  0.419831363  0.419831365 -0.000000003  0.000000479332   104.272408 
 0.021  0.001986987  0.000095014 -0.296274 -0.297456  0.419831  0.019991921  0.019991920  0.000000000  0.439823283  0.439823286 -0.000000002  0.000000479743   104.183027 
 0.022  0.002082001  0.000095050 -0.310352 -0.311650  0.439823  0.019991916  0.019991916  0.000000000  0.459815199  0.459815202 -0.000000002  0.000000480154   104.093674 
 0.023  0.002177052  0.000095087 -0.324428 -0.325847  0.459815  0.019991911  0.019991911 -0.000000000  0.479807110  0.479807113 -0.000000003  0.000000480567   104.004349 
 0.024  0.002272138  0.000095123 -0.338501 -0.340046  0.479807  0.019991907  0.019991907 -0.000000000  0.499799017  0.499799020 -0.000000003  0.000000480980   103.915053 
 0.025  0.002367261  0.000095159 -0.352571 -0.354249  0.499799  0.019991902  0.019991902 -0.000000000  0.519790920  0.519790923 -0.000000003  0.000000481393   103.825785 
 0.026  0.002462420  0.000095195 -0.366639 -0.368453  0.519790  0.019991898  0.019991898 -0.000000000  0.539782817  0.539782820 -0.000000003  0.000000481807   103.736547 
 0.027  0.002557616  0.000095232 -0.380704 -0.382661  0.539782  0.019991893  0.019991893 -0.000000000  0.559774711  0.559774714 -0.000000003  0.000000482222   103.647336 
 0.028  0.002652847  0.000095268 -0.394766 -0.396871  0.559774  0.019991889  0.019991889 -0.000000000  0.579766599  0.579766602 -0.000000003  0.000000482637   103.558155 
 0.029  0.002748116  0.000095305 -0.408825 -0.411085  0.579766  0.019991884  0.019991884 -0.000000000  0.599758484  0.599758487 -0.000000003  0.000000483052   103.469002 
 0.030  0.002843420  0.000095341 -0.422882 -0.425300  0.599758  0.019991880  0.019991880  0.000000000  0.619750363  0.619750366 -0.000000003  0.000000483469   103.379877 
 0.031  0.002938762  0.000095378 -0.436936 -0.439519  0.619749  0.019991875  0.019991875 -0.000000000  0.639742238  0.639742242 -0.000000003  0.000000483886   103.290781 
