# DTStamp_FHdata_calc_intgr_error (integration error) 2023-06-03 17:20:56 456733145 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 0.036  0.001702505  0.000047458 -0.254073 -0.254941  0.359928  0.009997984  0.009997983  0.000000000  0.369925752  0.369925753 -0.000000001  0.000000119651   104.450934 
 0.037  0.001749963  0.000047467 -0.261118 -0.262035  0.369926  0.009997982  0.009997983 -0.000000000  0.379923734  0.379923736 -0.000000002  0.000000119702   104.406202 
 0.038  0.001797429  0.000047476 -0.268162 -0.269130  0.379924  0.009997982  0.009997982 -0.000000000  0.389921716  0.389921718 -0.000000002  0.000000119753   104.361478 
 0.039  0.001844905  0.000047485 -0.275206 -0.276225  0.389921  0.009997982  0.009997982  0.000000000  0.399919698  0.399919699 -0.000000002  0.000000119805   104.316760 
 0.040  0.001892391  0.000047494 -0.282249 -0.283321  0.399919  0.009997981  0.009997981 -0.000000000  0.409917679  0.409917681 -0.000000002  0.000000119856   104.272050 
 0.041  0.001939885  0.000047503 -0.289291 -0.290418  0.409917  0.009997980  0.009997980 -0.000000000  0.419915659  0.419915661 -0.000000002  0.000000119907   104.227346 
 0.042  0.001987388  0.000047512 -0.296333 -0.297516  0.419915  0.009997980  0.009997980  0.000000000  0.429913639  0.429913641 -0.000000002  0.000000119959   104.182650 
 0.043  0.002034900  0.000047521 -0.303374 -0.304614  0.429913  0.009997979  0.009997979  0.000000000  0.439911619  0.439911620 -0.000000001  0.000000120010   104.137961 
 0.044  0.002082421  0.000047530 -0.310414 -0.311713  0.439911  0.009997979  0.009997979  0.000000000  0.449909597  0.449909599 -0.000000001  0.000000120062   104.093279 
 0.045  0.002129951  0.000047539 -0.317454 -0.318812  0.449909  0.009997978  0.009997978 -0.000000000  0.459907576  0.459907577 -0.000000002  0.000000120113   104.048604 
 0.046  0.002177491  0.000047548 -0.324493 -0.325912  0.459907  0.009997978  0.009997978  0.000000000  0.469905553  0.469905555 -0.000000002  0.000000120165   104.003936 
 0.047  0.002225039  0.000047558 -0.331531 -0.333013  0.469905  0.009997977  0.009997977 -0.000000000  0.479903530  0.479903532 -0.000000002  0.000000120217   103.959276 
 0.048  0.002272597  0.000047567 -0.338569 -0.340115  0.479903  0.009997977  0.009997976  0.000000000  0.489901507  0.489901508 -0.000000001  0.000000120268   103.914622 
 0.049  0.002320163  0.000047576 -0.345606 -0.347217  0.489901  0.009997976  0.009997976 -0.000000000  0.499899483  0.499899484 -0.000000001  0.000000120320   103.869976 
 0.050  0.002367739  0.000047585 -0.352642 -0.354320  0.499899  0.009997975  0.009997975  0.000000000  0.509897458  0.509897460 -0.000000001  0.000000120372   103.825337 
 0.051  0.002415324  0.000047594 -0.359678 -0.361423  0.509897  0.009997975  0.009997975 -0.000000000  0.519895433  0.519895434 -0.000000001  0.000000120423   103.780705 
